date,opponent,venue,p_objective_if_win,p_objective_if_draw,p_objective_if_loss,leverage,leverage_std_error
2026-04-20,Lecce,A,0.9873492203589291,0.9590017825311943,0.9139041259241593,0.07344509443476988,0.004471057465538486
2026-03-16,Cremonese,A,0.9857988165680474,0.9574231766012588,0.9223867205024675,0.06341209606557985,0.004176035382672649
2026-04-04,Verona,A,0.9817250816632824,0.9520746887966804,0.9268102777056839,0.05491480395759851,0.00438054208975213
2026-05-10,Genoa,H,0.9844492440604752,0.9615529589144365,0.9315421420684579,0.052907101992017314,0.003659078566182691
2026-03-02,Udinese,A,0.985392641405821,0.9606969990319458,0.9329842931937172,0.05240834821210372,0.003534499357280684
2026-04-26,Sassuolo,H,0.9822366536147454,0.9556629544021853,0.9322851153039833,0.049951538310762156,0.0038601827594094374
2026-04-13,Lazio,H,0.9877852348993289,0.9603231597845602,0.9415472779369628,0.0462379569623661,0.003082913041406482
2026-03-08,Parma,H,0.9810046019778713,0.9545538861064737,0.9360782529572339,0.04492634902063741,0.003928867929257686
2026-05-22,Atalanta,H,0.9895248784137674,0.9655905664024744,0.9487395844320219,0.04078529398174546,0.0026586473865947264
2026-05-17,Juventus,A,0.988100793280448,0.9713541666666666,0.9509419884349934,0.03715880484545453,0.0026635036190226402
2026-05-04,Roma,A,0.9880084646132142,0.9680408472012103,0.9521942824361793,0.035814182177034914,0.0026717037511500836
2026-03-22,Inter,H,0.9877721443483448,0.9711492608488317,0.9551915201156348,0.03258062423271002,0.002653153734071906
